Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
60,350,[-0.00297052 -0.01020408],[1.5614143  1.81678325],[1.60940304 1.08084507],[-0.00580499 -0.00580499 -0.00580499],"[[-197.07887   -250.55183  ]
 [ -18.28648    -14.292442 ]
 [ -80.837326   -78.239136 ]
 [  12.714863    16.276901 ]
 [ -11.733954    -7.0219536]
 [  25.89708     30.102922 ]
 [ -21.19395    -17.99582  ]
 [  -4.412404    -1.1112427]
 [   2.9760826    6.6597137]
 [  -2.5412676    0.6609443]
 [  -5.5439243   -2.8154929]
 [  -4.5935097   -2.433278 ]
 [ -16.575773   -14.6889715]
 [   2.341836     4.4855895]
 [  -7.1807117   -4.9281654]
 [  -3.790436    -1.8491584]
 [  -8.016966    -6.350816 ]
 [  -4.027816    -2.7012722]
 [  -5.774494    -4.0125427]
 [  -0.7914631    0.7358549]]","[[-2.2138036e+02 -2.7397672e+02]
 [ 6.8154640e+00  1.0910546e+01]
 [-9.8001572e+01 -9.4751480e+01]
 [ 2.9525845e+01  3.3262917e+01]
 [-2.3130995e+01 -1.7972275e+01]
 [ 3.3440002e+01  3.7972733e+01]
 [-2.5871033e+01 -2.2050163e+01]
 [ 5.5716968e-01  4.0109391e+00]
 [-4.0252962e+00 -1.4950645e-01]
 [ 2.8823833e+00  6.0973864e+00]
 [-1.5384780e+01 -1.2499527e+01]
 [-4.5705408e-01  1.7162879e+00]
 [-1.6662560e+01 -1.4390434e+01]
 [ 5.2469420e-01  2.6842928e+00]
 [-7.7814288e+00 -5.2746501e+00]
 [-4.7709551e+00 -2.7146471e+00]
 [-6.2893200e+00 -4.2538176e+00]
 [-6.5392246e+00 -4.7820330e+00]
 [-3.0340290e+00 -9.0042549e-01]
 [-2.0606883e+00 -4.0978116e-01]]"
60,0,[-0.00292517 -0.01015873],[0.03477282 0.85064314],[0.03747647 0.17569454],[-0.00580499 -0.00580499 -0.01160998],"[[-206.58907    -259.7054    ]
 [ -13.58606      -9.52804   ]
 [ -82.43976     -79.856155  ]
 [  14.0927725    17.715603  ]
 [ -11.976519     -7.2233267 ]
 [  26.448786     30.627346  ]
 [ -20.546566    -17.309786  ]
 [  -5.681184     -2.366827  ]
 [   3.5016563     7.154955  ]
 [  -2.7862437     0.4242017 ]
 [  -6.1600094    -3.4108813 ]
 [  -5.0846953    -2.9728074 ]
 [ -16.699295    -14.843363  ]
 [   1.8406596     3.9559727 ]
 [  -8.020948     -5.843646  ]
 [  -3.5968423    -1.6265616 ]
 [  -8.117392     -6.3805084 ]
 [  -4.0424576    -2.6527786 ]
 [  -5.879793     -4.09995   ]
 [  -0.85869753    0.7393069 ]]","[[-212.82812    -265.77454   ]
 [   2.510902      6.628172  ]
 [ -96.39322     -93.313866  ]
 [  27.21867      30.93896   ]
 [ -22.782528    -17.656355  ]
 [  32.4999       36.95351   ]
 [ -26.454853    -22.777645  ]
 [   1.8206365     5.3084717 ]
 [  -4.5356674    -0.6182767 ]
 [   3.0538418     6.244747  ]
 [ -14.705563    -11.899534  ]
 [  -0.50097865    1.7325757 ]
 [ -16.686876    -14.404465  ]
 [   1.2535625     3.460671  ]
 [  -7.5838585    -5.0988717 ]
 [  -5.13561      -3.126339  ]
 [  -6.4698567    -4.5537133 ]
 [  -6.6131835    -4.9615736 ]
 [  -3.3096955    -1.2216188 ]
 [  -2.0410671    -0.37609792]]"
60,10,[-0.00287982 -0.01011338],[-1.48461983  0.16276164],[-1.53010145 -0.62151972],[-0.00580499 -0.00580499 -0.01160998],"[[-215.82962    -268.56702   ]
 [  -8.797123     -4.8151145 ]
 [ -83.75822     -81.25084   ]
 [  16.389791     20.00235   ]
 [ -12.374956     -7.6477118 ]
 [  27.563978     31.617659  ]
 [ -19.854109    -16.632198  ]
 [  -6.8066163    -3.5672493 ]
 [   4.033601      7.5409355 ]
 [  -2.770997      0.35520896]
 [  -6.771687     -4.050929  ]
 [  -4.987867     -3.0370915 ]
 [ -16.720562    -14.949444  ]
 [   1.4543221     3.4753838 ]
 [  -8.4219055    -6.3764052 ]
 [  -3.0027623    -1.0893192 ]
 [  -7.9476404    -6.124213  ]
 [  -3.7993302    -2.459857  ]
 [  -5.5896297    -3.8654475 ]
 [  -0.87221175    0.69935644]]","[[-203.70236    -256.8385    ]
 [  -2.6643882     1.4874098 ]
 [ -94.270294    -91.19647   ]
 [  24.802492     28.575342  ]
 [ -22.219597    -17.001812  ]
 [  31.230976     35.634277  ]
 [ -26.82832     -23.114412  ]
 [   2.5743268     6.135107  ]
 [  -4.955474     -0.9430898 ]
 [   2.8214347     6.0672255 ]
 [ -13.938008    -11.041873  ]
 [  -0.4525029     1.882194  ]
 [ -16.8815      -14.483658  ]
 [   1.8337151     4.1929913 ]
 [  -7.319611     -4.728489  ]
 [  -5.185298     -3.14009   ]
 [  -7.0316944    -5.057788  ]
 [  -6.4458647    -4.8264484 ]
 [  -3.7498052    -1.6416459 ]
 [  -2.208817     -0.46506637]]"
60,20,[-0.00285714 -0.01006803],[-2.85964817 -0.87545529],[-2.94741064 -1.60708085],[-0.00580499 -0.00580499 -0.01160998],"[[-225.31436    -277.5038    ]
 [  -3.6414466     0.44591555]
 [ -85.25639     -82.3539    ]
 [  18.869938     22.63551   ]
 [ -12.694853     -7.63343   ]
 [  28.84031      33.108177  ]
 [ -19.977224    -16.438255  ]
 [  -7.6077547    -4.2082825 ]
 [   4.197612      7.8835354 ]
 [  -2.7013185     0.6391679 ]
 [  -7.4122696    -4.4787908 ]
 [  -5.038699     -2.9666176 ]
 [ -16.809393    -14.794409  ]
 [   1.220589      3.3684516 ]
 [  -8.645918     -6.2974176 ]
 [  -2.5400577    -0.43584976]
 [  -7.8556895    -5.5997868 ]
 [  -3.2931228    -1.7651589 ]
 [  -5.5490265    -3.4317424 ]
 [  -1.029225      0.6126963 ]]","[[-1.9637180e+02 -2.4977043e+02]
 [-6.1159487e+00 -1.9845924e+00]
 [-9.2823532e+01 -8.9826752e+01]
 [ 2.2903524e+01  2.6669601e+01]
 [-2.1522625e+01 -1.6358932e+01]
 [ 3.0436752e+01  3.4770103e+01]
 [-2.7727770e+01 -2.4086435e+01]
 [ 3.6189089e+00  7.1809874e+00]
 [-5.6311045e+00 -1.6599761e+00]
 [ 2.8833809e+00  6.1042438e+00]
 [-1.3577723e+01 -1.0687891e+01]
 [ 1.1793369e-01  2.5030360e+00]
 [-1.7285378e+01 -1.4900575e+01]
 [ 2.6266356e+00  5.0532045e+00]
 [-7.0354548e+00 -4.4101038e+00]
 [-4.9546490e+00 -2.9148021e+00]
 [-7.5319300e+00 -5.6194587e+00]
 [-6.1700172e+00 -4.6049399e+00]
 [-3.6912799e+00 -1.6621871e+00]
 [-2.8337643e+00 -1.1347800e+00]]"
60,30,[-0.00281179 -0.01002268],[-4.04142439 -2.10582301],[-4.16377902 -2.68534422],[-0.01160998  0.         -0.01160998],"[[-2.3402278e+02 -2.8578421e+02]
 [ 9.2454612e-01  5.3045883e+00]
 [-8.6193466e+01 -8.2977974e+01]
 [ 2.1519054e+01  2.5617928e+01]
 [-1.3124374e+01 -7.8161540e+00]
 [ 3.0129898e+01  3.4672531e+01]
 [-2.0628267e+01 -1.6730518e+01]
 [-8.1090307e+00 -4.5405922e+00]
 [ 4.1237397e+00  8.0035934e+00]
 [-2.4262435e+00  1.1192851e+00]
 [-7.9621000e+00 -4.7309828e+00]
 [-5.2314024e+00 -3.0218604e+00]
 [-1.6626390e+01 -1.4404139e+01]
 [ 1.1010320e+00  3.5661674e+00]
 [-8.5321083e+00 -5.8756647e+00]
 [-2.3108037e+00  6.1398268e-02]
 [-7.5854855e+00 -5.0174103e+00]
 [-2.6897788e+00 -7.0635915e-01]
 [-5.8335185e+00 -3.5551524e+00]
 [-1.2696525e+00  5.2905184e-01]]","[[-190.5319    -244.11351  ]
 [  -8.3703      -4.165206 ]
 [ -91.76657    -88.75933  ]
 [  21.159184    25.01639  ]
 [ -20.674866   -15.471481 ]
 [  29.75278     34.103012 ]
 [ -28.615103   -24.935398 ]
 [   4.3437376    7.97721  ]
 [  -6.2437      -2.260994 ]
 [   2.8162277    6.098933 ]
 [ -13.396711   -10.415268 ]
 [   0.6388066    3.1250515]
 [ -17.388481   -14.931519 ]
 [   2.9921083    5.5633   ]
 [  -6.72444     -4.019582 ]
 [  -4.679578    -2.5493846]
 [  -7.983713    -6.049304 ]
 [  -6.0349846   -4.4625278]
 [  -3.4313824   -1.3927588]
 [  -3.583798    -1.8777214]]"
60,40,[-0.00276644 -0.01061224],[-4.95828718 -3.19470614],[-5.10852098 -3.67888302],[-0.01160998  0.         -0.07546485],"[[-2.4140965e+02 -2.9292734e+02]
 [ 4.5853987e+00  9.0110722e+00]
 [-8.6512955e+01 -8.3360596e+01]
 [ 2.4118591e+01  2.8308681e+01]
 [-1.3833026e+01 -8.6588945e+00]
 [ 3.1263073e+01  3.5771194e+01]
 [-2.1852827e+01 -1.7956104e+01]
 [-8.0542860e+00 -4.4755468e+00]
 [ 3.6909695e+00  7.3266058e+00]
 [-1.8411074e+00  1.7378526e+00]
 [-8.6375980e+00 -5.4900179e+00]
 [-5.4936543e+00 -3.3882136e+00]
 [-1.6063057e+01 -1.3985876e+01]
 [ 9.4483155e-01  3.5971661e+00]
 [-8.1269875e+00 -5.5771580e+00]
 [-2.4421344e+00 -1.2152925e-01]
 [-6.8703985e+00 -4.2601242e+00]
 [-2.3984833e+00 -3.5573453e-01]
 [-6.3228364e+00 -4.3032246e+00]
 [-1.4013782e+00  3.9301479e-01]]","[[-186.82547    -240.539     ]
 [  -9.050682     -4.8119035 ]
 [ -91.51512     -88.541916  ]
 [  19.759647     23.715603  ]
 [ -20.150038    -14.910719  ]
 [  29.483519     33.831165  ]
 [ -29.751476    -26.036583  ]
 [   4.953744      8.642416  ]
 [  -7.052064     -3.1001496 ]
 [   2.8140595     6.164954  ]
 [ -13.507522    -10.454573  ]
 [   0.99239075    3.5369306 ]
 [ -17.343021    -14.816297  ]
 [   3.2617419     5.975935  ]
 [  -6.9021425    -4.164897  ]
 [  -4.137145     -1.945386  ]
 [  -8.576805     -6.592136  ]
 [  -5.965455     -4.376528  ]
 [  -3.1799188    -1.1456863 ]
 [  -4.3037376    -2.5843878 ]]"
60,50,[-0.00274376 -0.01058957],[-5.71222663 -4.68880653],[-5.87715983 -4.70704913],[-0.01160998  0.         -0.07546485],"[[-2.4756544e+02 -2.9885822e+02]
 [ 7.6718550e+00  1.2034262e+01]
 [-8.6180069e+01 -8.2825539e+01]
 [ 2.6296234e+01  3.0253857e+01]
 [-1.4695015e+01 -9.4943161e+00]
 [ 3.1942038e+01  3.6420956e+01]
 [-2.3280846e+01 -1.9432571e+01]
 [-7.5557833e+00 -4.1137428e+00]
 [ 3.1065657e+00  6.8102231e+00]
 [-1.2068217e+00  2.2672777e+00]
 [-9.5425873e+00 -6.5411906e+00]
 [-5.4688287e+00 -3.4079111e+00]
 [-1.5339340e+01 -1.3183256e+01]
 [ 6.8630922e-01  3.2066836e+00]
 [-7.6366239e+00 -4.9497433e+00]
 [-2.6737528e+00 -3.6720881e-01]
 [-5.9643717e+00 -3.3865521e+00]
 [-2.7691405e+00 -8.5574555e-01]
 [-6.6732912e+00 -4.5960240e+00]
 [-1.5294613e+00  3.4809738e-02]]","[[-184.69247   -238.60532  ]
 [  -8.689484    -4.509009 ]
 [ -91.524765   -88.63486  ]
 [  18.591862    22.49022  ]
 [ -19.786144   -14.606462 ]
 [  29.59824     33.892586 ]
 [ -30.833397   -27.210947 ]
 [   5.2387753    8.841152 ]
 [  -7.6742506   -3.8117337]
 [   2.7126145    6.0080495]
 [ -13.50833    -10.506013 ]
 [   1.0804666    3.591874 ]
 [ -17.027271   -14.502167 ]
 [   3.573273     6.2944326]
 [  -7.352356    -4.67289  ]
 [  -3.6022325   -1.4435706]
 [  -8.812713    -6.8832817]
 [  -6.238101    -4.7158995]
 [  -2.696332    -0.7223704]
 [  -5.052105    -3.4681425]]"
60,60,[-0.00272109 -0.01022676],[-6.30255222 -4.95957643],[-6.47439182 -5.08431792],[-0.01160998  0.         -0.07546485],"[[-2.5224352e+02 -3.0319714e+02]
 [ 1.0062847e+01  1.4403066e+01]
 [-8.5442833e+01 -8.1742928e+01]
 [ 2.7924585e+01  3.1756912e+01]
 [-1.5814623e+01 -1.0465342e+01]
 [ 3.2253922e+01  3.6769958e+01]
 [-2.4487701e+01 -2.0612034e+01]
 [-6.5375471e+00 -3.0648146e+00]
 [ 2.2956629e+00  6.1492839e+00]
 [-5.9258181e-01  2.8965895e+00]
 [-1.0338210e+01 -7.3779097e+00]
 [-5.0463905e+00 -2.8286481e+00]
 [-1.4690128e+01 -1.2477018e+01]
 [ 4.0452608e-01  3.0119381e+00]
 [-7.1859317e+00 -4.3126440e+00]
 [-2.8119667e+00 -4.5162606e-01]
 [-5.2101092e+00 -2.5553443e+00]
 [-3.5308988e+00 -1.6885155e+00]
 [-6.6433630e+00 -4.4413815e+00]
 [-1.5162413e+00 -2.8162152e-02]]","[[-184.27162    -238.46878   ]
 [  -6.93329      -2.8470144 ]
 [ -92.021774    -89.241165  ]
 [  18.190372     21.907534  ]
 [ -19.873325    -14.869065  ]
 [  30.482765     34.72876   ]
 [ -31.919273    -28.519775  ]
 [   5.617911      9.044519  ]
 [  -8.202949     -4.4959216 ]
 [   2.8583293     6.0259433 ]
 [ -13.485838    -10.661432  ]
 [   1.330552      3.7746453 ]
 [ -16.815601    -14.387539  ]
 [   4.36618       6.9917154 ]
 [  -8.097784     -5.5514517 ]
 [  -2.968808     -0.91554713]
 [  -8.82719      -7.0601983 ]
 [  -6.3295946    -4.9125814 ]
 [  -2.4920714    -0.6557925 ]
 [  -5.1808395    -3.7883506 ]]"
60,70,[-0.00269841 -0.01020408],[-6.68668032 -5.07877171],[-6.8584317  -5.18617749],[-0.01160998  0.         -0.07546485],"[[-2.55427460e+02 -3.06338623e+02]
 [ 1.20645046e+01  1.64786663e+01]
 [-8.46642151e+01 -8.10136795e+01]
 [ 2.89658203e+01  3.28188248e+01]
 [-1.71506062e+01 -1.20046949e+01]
 [ 3.26269073e+01  3.71510086e+01]
 [-2.54356537e+01 -2.17301979e+01]
 [-5.19293022e+00 -1.65142155e+00]
 [ 1.13301563e+00  4.83888149e+00]
 [-8.92246440e-02  3.37771749e+00]
 [-1.07660742e+01 -7.89514637e+00]
 [-4.39151764e+00 -2.16830325e+00]
 [-1.43122635e+01 -1.21814785e+01]
 [ 2.13416114e-01  2.87542295e+00]
 [-6.77988577e+00 -3.97228074e+00]
 [-2.74139833e+00 -3.83692324e-01]
 [-4.79946518e+00 -2.28539515e+00]
 [-4.21833420e+00 -2.36985087e+00]
 [-6.32463074e+00 -4.36088276e+00]
 [-1.35466230e+00  2.87177712e-01]]","[[-1.8553116e+02 -2.3976295e+02]
 [-4.2993345e+00 -6.6037491e-02]
 [-9.3159103e+01 -9.0207291e+01]
 [ 1.8263828e+01  2.2074951e+01]
 [-2.0683401e+01 -1.5590847e+01]
 [ 3.1652882e+01  3.6075684e+01]
 [-3.3125664e+01 -2.9621887e+01]
 [ 5.6550102e+00  9.1438885e+00]
 [-8.8500605e+00 -5.0640030e+00]
 [ 2.8862257e+00  6.1916084e+00]
 [-1.3654884e+01 -1.0724222e+01]
 [ 1.6017846e+00  4.1976089e+00]
 [-1.7049898e+01 -1.4467699e+01]
 [ 5.3089504e+00  8.1050577e+00]
 [-9.0859118e+00 -6.4472899e+00]
 [-2.5666468e+00 -3.9411744e-01]
 [-8.8891716e+00 -7.0039654e+00]
 [-6.2459373e+00 -4.7196898e+00]
 [-2.8292513e+00 -9.0645456e-01]
 [-5.0000696e+00 -3.5300057e+00]]"
60,80,[-0.00269841 -0.01013605],[-6.8241781  -5.60824335],[-6.99523032 -5.23751378],[-0.01160998  0.         -0.07546485],"[[-2.57570709e+02 -3.08350739e+02]
 [ 1.38825922e+01  1.83424644e+01]
 [-8.45769043e+01 -8.07896423e+01]
 [ 2.93404732e+01  3.31610909e+01]
 [-1.85300140e+01 -1.33282547e+01]
 [ 3.32030220e+01  3.76197968e+01]
 [-2.63428326e+01 -2.24920292e+01]
 [-3.86791611e+00 -3.84016365e-01]
 [-2.88046569e-01  3.54296875e+00]
 [ 2.64902294e-01  3.65881824e+00]
 [-1.08235741e+01 -7.87712526e+00]
 [-3.81562710e+00 -1.47579765e+00]
 [-1.44098015e+01 -1.22859497e+01]
 [ 5.87638915e-02  2.79935217e+00]
 [-6.59451580e+00 -3.78578544e+00]
 [-2.71923733e+00 -2.66491145e-01]
 [-4.85865593e+00 -2.46640873e+00]
 [-4.77786255e+00 -2.79962254e+00]
 [-6.10494995e+00 -4.19086552e+00]
 [-9.89953756e-01  7.39693642e-01]]","[[-1.8827710e+02 -2.4259969e+02]
 [-7.6349717e-01  3.3828897e+00]
 [-9.4930954e+01 -9.2045425e+01]
 [ 1.9069683e+01  2.2813265e+01]
 [-2.2138437e+01 -1.7153805e+01]
 [ 3.3220230e+01  3.7554420e+01]
 [-3.4365791e+01 -3.0904512e+01]
 [ 5.7783365e+00  9.1297550e+00]
 [-9.7251034e+00 -6.0904350e+00]
 [ 3.1342638e+00  6.3836346e+00]
 [-1.3999307e+01 -1.1110052e+01]
 [ 2.1193643e+00  4.6319623e+00]
 [-1.7656757e+01 -1.5103453e+01]
 [ 6.3490343e+00  9.1287651e+00]
 [-1.0121841e+01 -7.5833378e+00]
 [-2.2386312e+00 -1.5217146e-01]
 [-9.1571779e+00 -7.2997327e+00]
 [-5.8793039e+00 -4.4444809e+00]
 [-3.5155337e+00 -1.6706775e+00]
 [-4.7712564e+00 -3.3809395e+00]]"
60,90,[-0.00267574 -0.00968254],[-6.71332479 -5.84135771],[-6.88646674 -5.05768716],[-0.01160998 -0.01160998 -0.02902494],"[[-2.5876355e+02 -3.0928485e+02]
 [ 1.5162973e+01  1.9516920e+01]
 [-8.5159210e+01 -8.1046646e+01]
 [ 2.8843397e+01  3.2577991e+01]
 [-1.9404011e+01 -1.3940075e+01]
 [ 3.3532383e+01  3.7883026e+01]
 [-2.7343042e+01 -2.3200470e+01]
 [-3.2506552e+00  1.5184633e-01]
 [-1.4156389e+00  2.7296925e+00]
 [ 3.4465753e-02  3.3669801e+00]
 [-1.0487495e+01 -7.2518268e+00]
 [-3.7731581e+00 -1.4301782e+00]
 [-1.4643193e+01 -1.2193523e+01]
 [-4.0965152e-01  2.2097979e+00]
 [-6.5033464e+00 -3.4812117e+00]
 [-3.1600683e+00 -6.8913132e-01]
 [-4.9898906e+00 -2.4188600e+00]
 [-5.5067835e+00 -3.5716400e+00]
 [-5.8226924e+00 -3.5755782e+00]
 [-1.0078943e+00  7.3022223e-01]]","[[-192.01671    -246.21307   ]
 [   3.3083696     7.4553475 ]
 [ -96.839905    -93.83156   ]
 [  20.491772     24.28909   ]
 [ -23.793846    -18.697157  ]
 [  35.05145      39.370674  ]
 [ -35.457508    -31.823616  ]
 [   6.133287      9.454332  ]
 [ -10.634356     -6.954755  ]
 [   3.637493      6.9219    ]
 [ -14.318142    -11.272762  ]
 [   2.9206645     5.451295  ]
 [ -18.317947    -15.597092  ]
 [   7.4355392    10.262827  ]
 [ -11.044146     -8.395797  ]
 [  -1.6486902     0.46283278]
 [  -9.70662      -7.7378182 ]
 [  -5.0874424    -3.618938  ]
 [  -4.32925      -2.3821416 ]
 [  -4.320729     -2.9296055 ]]"
60,100,[-0.00267574 -0.01002268],[-6.33953989 -4.94600266],[-6.51481509 -4.64392483],[-0.01160998 -0.01160998 -0.03482993],"[[-2.58534973e+02 -3.09231842e+02]
 [ 1.60672817e+01  2.02396736e+01]
 [-8.59237289e+01 -8.20486450e+01]
 [ 2.83759289e+01  3.19651299e+01]
 [-1.96487103e+01 -1.44147930e+01]
 [ 3.44741058e+01  3.87171402e+01]
 [-2.84500275e+01 -2.45346680e+01]
 [-2.36530256e+00  8.67121100e-01]
 [-1.97286797e+00  1.95793939e+00]
 [ 2.49954790e-01  3.51545620e+00]
 [-1.03000555e+01 -7.30462265e+00]
 [-3.11505055e+00 -8.35419536e-01]
 [-1.50008011e+01 -1.27323980e+01]
 [-4.36863810e-01  1.96808529e+00]
 [-6.42676163e+00 -3.66465211e+00]
 [-3.34164524e+00 -1.00970101e+00]
 [-5.07617378e+00 -2.69639206e+00]
 [-5.59302521e+00 -3.87943721e+00]
 [-5.64916277e+00 -3.42924023e+00]
 [-6.98168576e-01  8.62639964e-01]]","[[-196.18433   -250.43608  ]
 [   7.3071756   11.495691 ]
 [ -98.413864   -95.53677  ]
 [  22.072994    25.892036 ]
 [ -25.237011   -20.289679 ]
 [  36.81996     41.176952 ]
 [ -36.286568   -32.825077 ]
 [   6.578        9.914175 ]
 [ -11.31849     -7.8500414]
 [   4.1276736    7.429429 ]
 [ -14.37761    -11.428955 ]
 [   3.7360735    6.319062 ]
 [ -18.808205   -16.235727 ]
 [   8.334262    11.2404785]
 [ -11.7453575   -9.2401085]
 [  -0.8939543    1.2216083]
 [ -10.356179    -8.512157 ]
 [  -4.1429133   -2.6099453]
 [  -5.0300875   -3.2537942]
 [  -3.7244258   -2.2937064]]"
60,110,[-0.00269841 -0.01004535],[-5.75701118 -3.7388736 ],[-5.92565536 -4.30759072],[-0.01160998  0.         -0.00580499],"[[-2.5703854e+02 -3.0780594e+02]
 [ 1.6208015e+01  2.0506618e+01]
 [-8.6462051e+01 -8.2579720e+01]
 [ 2.7743292e+01  3.1444546e+01]
 [-1.9701006e+01 -1.4362549e+01]
 [ 3.5856083e+01  4.0226334e+01]
 [-2.9623840e+01 -2.5649529e+01]
 [-1.7949432e+00  1.5031050e+00]
 [-1.8257159e+00  2.2043996e+00]
 [ 4.8859498e-01  3.8230770e+00]
 [-1.0230825e+01 -7.0622778e+00]
 [-2.3400068e+00  2.1235898e-02]
 [-1.4920074e+01 -1.2590358e+01]
 [-6.8966639e-01  1.7416025e+00]
 [-6.1093235e+00 -3.3077614e+00]
 [-3.5114193e+00 -1.2025392e+00]
 [-5.1767092e+00 -2.7892971e+00]
 [-5.1956978e+00 -3.3038168e+00]
 [-5.5404053e+00 -3.3448882e+00]
 [-4.8897666e-01  1.2082324e+00]]","[[-1.99914246e+02 -2.53285522e+02]
 [ 9.72350883e+00  1.30790644e+01]
 [-9.84853134e+01 -9.44414062e+01]
 [ 2.23274879e+01  2.52658062e+01]
 [-2.53193932e+01 -1.92545929e+01]
 [ 3.71523132e+01  4.06835175e+01]
 [-3.57819366e+01 -3.12239304e+01]
 [ 5.81733799e+00  8.25859833e+00]
 [-1.06777649e+01 -6.13731098e+00]
 [ 3.29118443e+00  5.75120163e+00]
 [-1.30433655e+01 -8.96977806e+00]
 [ 3.25736189e+00  5.02586460e+00]
 [-1.80432167e+01 -1.44149942e+01]
 [ 7.81685829e+00  9.91108227e+00]
 [-1.12035904e+01 -7.66642284e+00]
 [-1.25511122e+00 -2.39580870e-04]
 [-9.88129902e+00 -7.02805853e+00]
 [-4.50904894e+00 -3.77476406e+00]
 [-4.46033335e+00 -1.71947908e+00]
 [-4.15825558e+00 -3.53953695e+00]]"
60,120,[-0.00272109 -0.0092517 ],[-5.01516402 -2.89342999],[-5.16847074 -3.89776587],[-0.00580499  0.          0.        ],"[[-254.7538    -305.85977  ]
 [  15.8912115   19.855373 ]
 [ -87.30497    -83.75221  ]
 [  27.407715    30.829687 ]
 [ -20.376324   -15.306297 ]
 [  37.697186    41.776154 ]
 [ -30.75676    -27.002487 ]
 [  -1.5143986    1.426883 ]
 [  -1.5265824    2.210605 ]
 [   0.9937015    4.159703 ]
 [ -10.464371    -7.5621405]
 [  -1.7817518    0.3252434]
 [ -14.374558   -12.295315 ]
 [  -1.0792302    1.1078436]
 [  -5.9369907   -3.5600762]
 [  -3.5970445   -1.5448158]
 [  -5.2033834   -3.154994 ]
 [  -5.073103    -3.358238 ]
 [  -4.7416544   -2.8398309]
 [  -1.0690222    0.406008 ]]","[[-204.0533     -257.40262   ]
 [  11.493208     14.615816  ]
 [ -98.37773     -94.436485  ]
 [  22.25039      24.888744  ]
 [ -25.40382     -19.484446  ]
 [  37.068336     40.362312  ]
 [ -35.369904    -30.956394  ]
 [   4.710205      6.834125  ]
 [  -9.986245     -5.5760565 ]
 [   2.0163202     4.242223  ]
 [ -11.750479     -7.7887864 ]
 [   2.352678      3.9128957 ]
 [ -17.34702     -13.873905  ]
 [   6.747138      8.598972  ]
 [ -10.61981      -7.243966  ]
 [  -1.9800762    -0.95746374]
 [  -9.396162     -6.723548  ]
 [  -5.4123907    -4.8978806 ]
 [  -3.8233209    -1.2317965 ]
 [  -4.803746     -4.381817  ]]"
60,130,[-0.00274376 -0.0092517 ],[-4.16606456 -2.62623668],[-4.30049717 -3.22714806],[-0.00580499  0.         -0.00580499],"[[-2.5163281e+02 -3.0279108e+02]
 [ 1.5001952e+01  1.8773815e+01]
 [-8.8266769e+01 -8.4605751e+01]
 [ 2.6869688e+01  3.0193676e+01]
 [-2.1363392e+01 -1.6165615e+01]
 [ 3.9024139e+01  4.3047318e+01]
 [-3.1581005e+01 -2.7727064e+01]
 [-1.6006410e+00  1.2936240e+00]
 [-1.5713499e+00  2.2163911e+00]
 [ 1.5966623e+00  4.8400679e+00]
 [-1.0845985e+01 -7.9220500e+00]
 [-1.7584856e+00  4.3730608e-01]
 [-1.3971417e+01 -1.1858245e+01]
 [-1.3024638e+00  9.4190919e-01]
 [-6.3718233e+00 -4.0862274e+00]
 [-3.9360247e+00 -1.9002976e+00]
 [-5.3501272e+00 -3.2644961e+00]
 [-5.5003295e+00 -3.7569680e+00]
 [-4.0778399e+00 -2.1097436e+00]
 [-1.7521157e+00 -2.5022906e-01]]","[[-208.84958   -262.33218  ]
 [  13.72011     17.142849 ]
 [ -98.5905     -95.063354 ]
 [  22.87287     25.738436 ]
 [ -25.817965   -20.32484  ]
 [  37.54815     41.12401  ]
 [ -35.32261    -31.364096 ]
 [   4.262273     6.5973444]
 [  -9.48872     -5.4750853]
 [   1.3240695    3.8299127]
 [ -10.768892    -7.2397203]
 [   1.8914831    3.7578645]
 [ -16.962202   -13.90671  ]
 [   6.0290737    8.052786 ]
 [ -10.253488    -7.285189 ]
 [  -2.2990837   -1.016457 ]
 [  -9.095543    -6.8604374]
 [  -6.0796576   -5.383909 ]
 [  -3.3568163   -1.098351 ]
 [  -4.931934    -4.250668 ]]"
